"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"Y15",4,2,0,2,2,2,2,4,4,2,4,0,0,2,0,3,4,3,2,4,4,0,0,4,0,0,4,3,2,2,0,2,3,0,4,0,1,4,2,0,2,2,4,2,2,2,2,0,0,2,0,3,0,2,1,2,3,-4,2,4,-2,4,4,4,0,4,0,0,0,3,0,3,4,-2,4,3,-2,2,0,4,3,4,4,2,0,4,2,-2,-2,0,-2,1,0,2,-2,1,2,2,3,4,4,4,3,-2,0,1,2,2,2,4,3,4,4,0,1,1,0
"SSD",4,2,0,2,2,2,2,4,4,2,4,0,0,2,0,3,4,3,2,4,4,0,0,4,0,0,4,3,2,2,0,2,3,0,4,0,1,4,2,0,2,2,4,2,2,2,2,0,0,2,0,3,0,2,1,2,3,-4,2,4,-2,4,4,4,0,4,0,0,0,3,0,3,4,-2,4,3,-2,2,0,4,3,4,4,2,0,4,2,-2,-2,0,-2,1,0,2,-2,1,2,2,3,4,4,4,3,-2,0,1,2,2,2,4,3,4,4,0,1,1,0
"TUE",3,1,1,1,2,1,3,3,3,3,3,1,0,1,1,2,3,2,1,3,3,1,1,3,1,-1,3,2,3,1,-1,1,2,-1,3,0,1,3,3,-1,1,3,3,1,3,1,1,1,1,1,1,2,1,1,2,1,2,-3,3,3,-1,3,3,3,-1,3,-1,1,-1,2,1,2,3,-1,3,2,-1,1,1,3,3,3,3,1,1,3,1,-1,-2,0,-1,2,-1,1,-1,0,1,1,2,3,3,3,3,-1,1,2,3,1,1,3,2,3,3,-1,2,0,0
"X58",-2,0,2,-4,0,0,0,-2,-2,0,-2,2,0,0,-2,-1,-2,-3,0,-2,-2,2,-2,-2,-2,-2,-2,-1,0,-4,-2,0,-1,-2,-2,0,1,-2,0,-2,-4,0,-2,0,0,0,-4,2,2,-2,-2,-1,2,0,1,0,-3,2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-1,2,-1,-2,0,-2,-1,4,0,-2,-2,-1,-2,-2,-4,2,-2,0,0,0,0,0,1,-2,0,0,-1,0,-4,-1,-2,-2,-2,-1,4,2,1,0,-4,-4,-2,-1,-2,-2,0,1,-3,2
"KJ2",0,2,4,-2,0,2,2,0,0,2,0,0,0,2,0,-1,0,-1,2,0,0,4,0,0,0,-4,0,-1,2,-2,-4,-2,-1,0,0,0,3,0,2,0,-2,2,0,-2,2,-2,-2,0,0,-2,0,-1,0,-2,3,-2,-1,0,2,0,2,0,0,0,-4,0,-4,0,-4,-1,0,-1,0,2,0,-1,2,2,0,0,1,0,0,-2,4,0,2,-2,0,0,2,3,-4,2,2,-3,2,-2,-1,0,0,0,1,2,4,1,2,-2,-2,0,-1,0,0,0,1,-3,0
"Q0Z",1,-1,1,-1,2,-1,3,1,1,3,1,3,0,-1,1,1,1,0,-1,1,1,1,1,1,1,-1,1,1,3,-1,-1,1,1,-3,1,0,0,1,3,-3,-1,3,1,1,3,1,-1,3,3,0,1,1,3,1,2,1,0,-1,3,1,-1,1,1,1,-1,1,-1,1,-1,1,3,1,1,-1,1,1,1,-1,1,1,2,1,1,-1,1,1,-1,1,-2,0,-1,2,-1,-1,-1,0,-1,-1,1,1,1,1,2,1,1,3,3,-1,-1,1,1,1,1,-2,3,-1,1
"K3V",2,0,2,0,2,0,4,2,2,4,2,2,0,0,2,1,2,1,0,2,2,2,2,2,2,-2,2,1,4,0,-2,0,1,-2,2,0,1,2,4,-2,0,4,2,0,4,0,0,2,2,0,2,1,2,0,3,0,1,-2,4,2,0,2,2,2,-2,2,-2,2,-2,1,2,1,2,0,2,1,0,0,2,2,3,2,2,0,2,2,0,0,-2,0,0,3,-2,0,0,-1,0,0,1,2,2,2,3,0,2,3,4,0,0,2,1,2,2,-2,3,-1,0
"YBV",2,0,-2,4,0,0,0,2,2,0,2,-2,0,0,2,1,2,3,0,2,2,-2,2,2,2,2,2,1,0,4,2,0,1,2,2,0,-1,2,0,2,4,0,2,0,0,0,4,-2,-2,2,2,1,-2,0,-1,0,3,-2,0,2,0,2,2,2,2,2,2,2,2,1,-2,1,2,0,2,1,-4,0,2,2,1,2,2,4,-2,2,0,0,0,0,0,-1,2,0,0,1,0,4,1,2,2,2,1,-4,-2,-1,0,4,4,2,1,2,2,0,-1,3,-2
"WT6",2,0,-2,4,0,0,0,2,2,0,2,-2,0,0,2,1,2,3,0,2,2,-2,2,2,2,2,2,1,0,4,2,0,1,2,2,0,-1,2,0,2,4,0,2,0,0,0,4,-2,-2,2,2,1,-2,0,-1,0,3,-2,0,2,0,2,2,2,2,2,2,2,2,1,-2,1,2,0,2,1,-4,0,2,2,1,2,2,4,-2,2,0,0,0,0,0,-1,2,0,0,1,0,4,1,2,2,2,1,-4,-2,-1,0,4,4,2,1,2,2,0,-1,3,-2
"HE7",4,2,0,2,2,2,2,4,4,2,4,0,0,2,0,3,4,3,2,4,4,0,0,4,0,0,4,3,2,2,0,2,3,0,4,0,1,4,2,0,2,2,4,2,2,2,2,0,0,2,0,3,0,2,1,2,3,-4,2,4,-2,4,4,4,0,4,0,0,0,3,0,3,4,-2,4,3,-2,2,0,4,3,4,4,2,0,4,2,-2,-2,0,-2,1,0,2,-2,1,2,2,3,4,4,4,3,-2,0,1,2,2,2,4,3,4,4,0,1,1,0
"M9X",3,1,-1,1,2,1,1,3,3,1,3,1,0,1,-1,3,3,2,1,3,3,-1,-1,3,-1,1,3,3,1,1,1,3,3,-1,3,0,0,3,1,-1,1,1,3,3,1,3,1,1,1,2,-1,3,1,3,0,3,2,-3,1,3,-3,3,3,3,1,3,1,-1,1,3,1,3,3,-3,3,3,-1,1,-1,3,2,3,3,1,-1,3,1,-1,-2,0,-3,0,1,1,-3,2,1,1,3,3,3,3,2,-1,-1,1,1,1,1,3,3,3,3,0,1,1,1
"X2C",4,2,0,2,2,2,2,4,4,2,4,0,0,2,0,3,4,3,2,4,4,0,0,4,0,0,4,3,2,2,0,2,3,0,4,0,1,4,2,0,2,2,4,2,2,2,2,0,0,2,0,3,0,2,1,2,3,-4,2,4,-2,4,4,4,0,4,0,0,0,3,0,3,4,-2,4,3,-2,2,0,4,3,4,4,2,0,4,2,-2,-2,0,-2,1,0,2,-2,1,2,2,3,4,4,4,3,-2,0,1,2,2,2,4,3,4,4,0,1,1,0
"HGH",4,2,0,2,2,2,2,4,4,2,4,0,0,2,0,3,4,3,2,4,4,0,0,4,0,0,4,3,2,2,0,2,3,0,4,0,1,4,2,0,2,2,4,2,2,2,2,0,0,2,0,3,0,2,1,2,3,-4,2,4,-2,4,4,4,0,4,0,0,0,3,0,3,4,-2,4,3,-2,2,0,4,3,4,4,2,0,4,2,-2,-2,0,-2,1,0,2,-2,1,2,2,3,4,4,4,3,-2,0,1,2,2,2,4,3,4,4,0,1,1,0
"ME6",0,2,0,0,-1,2,-2,0,0,-2,0,-2,0,2,-2,0,0,0,2,0,0,0,-2,0,-2,0,0,0,-2,0,0,0,0,2,0,0,1,0,-2,2,0,-2,0,0,-2,0,0,-2,-2,0,-2,0,-2,0,-1,0,0,0,-2,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,0,0,0,0,2,-2,0,-1,0,0,0,0,0,2,-2,1,0,0,-1,0,2,0,0,2,0,0,0,0,0,-1,0,0,-2,-2,0,0,0,0,0,0,2,-2,0,0
"T0N",1,-1,1,-1,2,-1,3,1,1,3,1,3,0,-1,1,1,1,0,-1,1,1,1,1,1,1,-1,1,1,3,-1,-1,1,1,-3,1,0,0,1,3,-3,-1,3,1,1,3,1,-1,3,3,0,1,1,3,1,2,1,0,-1,3,1,-1,1,1,1,-1,1,-1,1,-1,1,3,1,1,-1,1,1,1,-1,1,1,2,1,1,-1,1,1,-1,1,-2,0,-1,2,-1,-1,-1,0,-1,-1,1,1,1,1,2,1,1,3,3,-1,-1,1,1,1,1,-2,3,-1,1
"G2Y",1,-1,-3,3,0,-1,-1,1,1,-1,1,-1,0,-1,1,1,1,2,-1,1,1,-3,1,1,1,3,1,1,-1,3,3,1,1,1,1,0,-2,1,-1,1,3,-1,1,1,-1,1,3,-1,-1,2,1,1,-1,1,-2,1,2,-1,-1,1,-1,1,1,1,3,1,3,1,3,1,-1,1,1,-1,1,1,-3,-1,1,1,0,1,1,3,-3,1,-1,1,0,0,-1,-2,3,-1,-1,2,-1,3,1,1,1,1,0,-3,-3,-1,-1,3,3,1,1,1,1,0,-1,3,-1
"Y9Y",0,0,0,-2,1,0,0,0,0,0,0,2,0,0,-2,1,0,-1,0,0,0,0,-2,0,-2,0,0,1,0,-2,0,2,1,-2,0,0,0,0,0,-2,-2,0,0,2,0,2,-2,2,2,0,-2,1,2,2,0,2,-1,0,0,0,-2,0,0,0,0,0,0,-2,0,1,2,1,0,-2,0,1,2,0,-2,0,0,0,0,-2,0,0,0,0,-1,0,-2,0,0,0,-2,1,0,-2,1,0,0,0,0,2,0,1,0,-2,-2,0,1,0,0,0,1,-1,2
